0;100;0;0;0
5;92;8;0;0
10;87;13;0;0
12.5;85;15;0;0
15;80;20;0;0
20;71;29;0;0
25;66;34;0;0
30;52;48;0;0
40;34;66;0;0
45;22;78;0;0
50;0;100;0;0
55;0;78;22;0
60;0;45;55;0
