4.7;93;7;0;0
10.4;86;14;0;0
15;75;25;0;0
19.1;68;32;0;0
24.7;58;42;0;0
30.3;49;51;0;0
32;45;55;0;0
39.4;26;74;0;0
50;0;95;5;0
51.7;0;96;4;0
55.5;0;80;20;0
59.6;0;54;46;0
62.1;0;36.1;60.4;3.5
66.3;0;12.8;75.1;12.1
69.6;0;1.9;63.5;34.6
71.1;0;0.6;52.2;47.2
