20,50,48,2,0,0
25,38,61,1,0,0
28.6,27,68,5,0,0
33.3,11,79,10,0,0
36.4,7,76,17,0,0
40,2,67,29,2,0
42.9,2,54,41,3,0
44.4,0,47,50,3,0
50,0,16,70,13,1
55.6,0,3,54,39,4
33.164982082057,9.54,80.98,9.48,0,0
40.3030561725662,0,60.41,39.59,6.73,0
48.7139922281643,0,21.13,68.79,10.07,0
